"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"duration"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"
"Python Developer"	"£600 - £650 per Day"	"City of London"	"Contract"	"Python Developer"	"City of London - £600 - £650 per Day"	"Contract"	"Posted: Wednesday, 12 December 2018"	""	"Python,Java,C++ An exciting opportunity has arisen with my client who is looking for a Python Developer to work on and exciting new project. Coming from a banking, Insurance or actuarial background is necessary. Day rate:  £600 - £650 per day Location: London and Zurich ( travel expenses are paid for )  Start date: ASAP Duration: 6 months Essential Skills: Python Financial services, Actuarial or insurance background A background in Risk Management or derivatives projects is advantageous Java/C++ If you are interested in this position please send me your up to date CV."	"City of London, UK"	"IT"	"6 months"	"ASAP"	"£600 - £650 per Day"	"Goodman Masson"	"Chris Jones "	"JSPYTHON"	"12/12/2018 11:19:38"	"http://www.jobserve.com/Gm53j"	"Executive"
"SQL/VBA Developer"	"£400 - £450 per Day +"	"Bristol"	"Contract"	"SQL/VBA Developer"	"Bristol - £400 - £450 per Day +"	"Contract"	"Posted: Wednesday, 5 December 2018"	""	"SQL/VBA DeveloperA SQL/VBA Developer is urgently required to join a Financial Services company for an initial 4 month contract with a guaranteed extension beyond this.The successful SQL/VBA Developer will be responsible for supporting a Cash Flow Management system, which brings together the Bank's Actuarial and Accounting data. This will involve picking up change requests via JIRA, coding, testing and putting these into production.Key Skills Required:SQL Server development experience (stored procedures & database design)Access VBA application development experienceExperience working in Agile delivery environmentsSoftware development life cycle (SDLC) experienceFinancial Services backgroundIf you have the relevant experience for this SQL/VBA Developer role then please apply with an updated copy of your CV.KEYWORDS: SQL/VBA DEVELOPER, SQL SERVER, STORED PROCEDURES, DATABASE DESIGN, ACCESS VBA, SDLC, JIRA, AGILE, CHANGE, FINANCIAL SERVICESOrgtel, a trading division of SThree Partnership LLP is acting as an Employment Business in relation to this vacancy "	"Bristol, UK"	"IT"	"4 months"	"ASAP"	"£400 - £450 per Day +"	"Orgtel"	"Reem Altamore "	"JS-OT-33004425"	"05/12/2018 19:32:25"	"http://www.jobserve.com/Glqht"	NA
"Data Project Manager"	"£550.00 - £600.00 per Day"	"Bromley, Kent"	"Contract"	"Data Project Manager"	"Bromley, Kent - £550.00 - £600.00 per Day"	"Contract"	"Posted: Thursday, 6 December 2018"	""	"Project Manager - Data - GDPR - SAS - Oracle - Insurance An urgent requirement has arisen for a Project Manager to join a leading Insurance organisation to work as part of a GDPR Programme. The Project Manager will be specifically required to lead a project which is focusing on implementing access controls to analytical users of data. There are two specific systems which they will be looking at - one is a Policy system and the other is Claims. The project is already in-flight and they are due to go into testing stages with the first delivery due in September next year. The Project Manager will be required to work closely with the data team in order to understand what changes needs to be made in order to fulfil the need. The data team are fairly unstructured therefore the Project Manager needs to be able to work in this kind of environment but must be able to put some structure into place in order to keep the delivery on track. The PM will need to be able to develop and update plans, manage risks and issues and liaise with stakeholders across multiple business areas including actuarial. In order to be considered for this role, you will be a strong Project Manager with a excellent background delivering projects within a Financial services environment, knowledge of Insurance in particular would be highly desirable. You will have good experience of managing data focussed projects and specific knowledge of Oracle and SAS would be particularly beneficial. GDPR knowledge would be a good to have, as would Data Privacy.What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.Hays Specialist Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T&C's, Privacy Policy and Disclaimers which can be found on our website."	"Bromley, Kent, UK"	"Finance"	"6 months"	NA	"£550.00 - £600.00 per Day"	"Hays Specialist Recruitment"	"Sarah Reising "	"JS-3474436"	"06/12/2018 17:22:53"	"http://www.jobserve.com/GlyiW"	NA
"Rotational Business Graduates"	""	"Telford"	"Permanent"	"Rotational Business Graduates"	"Telford"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Rotational Business GraduatesJob summaryReAssure are looking to recruit dedicated Rotational Business Graduates to join our team. This vacancy represents an opportunity to join one of Telford's largest employers. Joining our exciting, fast-paced, change-focused team, where you will have the space to realise your potential.Our Graduate ProgrammeAt ReAssure we realise you might not yet know where you want your career to go, that's why we offer a Graduate programme that lets you spend 2 years learning about our business by undertaking up to 6 rotations into different parts of ReAssure. These rotations can take you from our busy Actuarial and Finance teams, via our dynamic Change and IT functions, through to our award-winning Customer facing teams and everything in-between.If you already know the direction you want your career to take with specific roles in mind, our Graduate programme will help you to build the rounded business knowledge to support your progression, tailoring your rotations to match your career aspirations.Competitive Salary & Benefits package, including 27 days' holiday, pension, healthcareOriginally founded in 1963, ReAssure is a life and pensions company, which buys and administers closed books of business from other companies. Built on a 2000-strong team with a wide range of skills and experience, there's one constant running through the ReAssure business - 'Change'. Join us and you'll have opportunity to drive our growth and progress through your own success.Key responsibilitiesWe're recruiting Graduates like you to help us develop our leaders of the future. On our 2-year programme you'll learn about how we run our business through being part of a team and being given accountability for activities and processes. You'll gain exposure to our management teams, providing a view point and championing innovations. Throughout your 2 years, you'll be supported by our Organisation and People Development team on your journey, including a comprehensive induction and ongoing learning pathways to help nurture the behavioural and technical skills you need to succeed.Programme will allow you to:Work directly with a variety of functional areas across the business, building a wide network of connections, growing your experience and knowledge of ReAssure and the financial services industry as a wholeTake on a wide range of roles and responsibilities, which help us to achieve the overall deliverables of ReAssure and provide strong outcomes for our CustomersGain satisfaction through a strong sense of ownership, adapt to an evolving role, work in a fast paced environment with a strong work ethic, be an excellent team player and interact with senior managementStudy towards the CII professional qualification, supported by our Organisation and People Development teamKey skills/experience requiredWork together with customers; internal and external; listen to their needs; look at challenges from their viewpointOwn problems and the accountability for solving themDeliver high quality work with enthusiasmBe flexible with change and stay focused on prioritiesDeal with people positively, honestly and constructivelyExpress yourself simply, clearly and directlyProactively offer assistance to others, seek opportunities to \"pitch in\" and help colleaguesShow commitment, and share delivery of team goalsStay calm and resilient despite uncertaintyConstantly seek ways to learn and developBe self-aware; know your strengths and address your development needsEncourage and recognise the right behavioursDemand of yourself the same high standards that you expect from othersPlease apply below We are an equal opportunities employer and welcome applications from all suitably qualified persons regardless of their race, sex, disability, religion/belief, sexual orientation, gender reassignment, marriage and civil partnerships, pregnancy or maternity or age"	"Telford, UK"	"Finance"	NA	NA	NA	"Lorien"	"Thom Bannister "	"JS-50197205"	"11/12/2018 10:10:23"	"http://www.jobserve.com/GmtIC"	"Graduate"
"Software Developer/Applications Developer (C# Web API, MVC)"	"£50k-£60k per annum + Bonus + Benefits + Pension"	"City of London"	"Permanent"	"Software Developer/Applications Developer (C# Web API, MVC)"	"City of London - £50k-£60k per annum + Bonus + Benefits + Pension"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Application Developer; Software Developer - Full Software Development Life Cycle.An AMAZING OPPORTUNITY to work for THE MOST PRESTIGIOUS INSURANCE FIRM in the City of London. THIS POSITION IS NOT TO BE MISSED.Working in a small team (circa 10) of experienced Software Developers/Application Developers; you will be required to Design, Architect and Develop complex Insurance-Based Systems (that will cover Underwriting, Modelling and Actuarial).Technical Skills Required:C#Visual Studio .NETTFS (Team Foundation Server)MVCWeb APIEntity FrameworkJSONAngular JSKnockout JSBootstrapNunitMoq/RhinomocksUnity/Castle WinsdorSQL ServerAs an experienced End-To-End Software Developer/Application Developer, you will be working in Design, Architecture and Development; building the latest business related systems for my top tier client in London. Any experience in building insurance or banking or financial systems would be ideal to have; as would any background in Mathematics, Actuarial, Pricing or Financial Modelling.My client is a VERY PRESTIGIOUS Firm located in amazing offices in the City of London. This really is an amzing company to work for. For you chance to secure a position in this highly desirable financial/insurance market, please send in your latest CV for immediate consideration.Application Developer; Software Developer - Full Software Development Life Cycle.An AMAZING OPPORTUNITY to work for THE MOST PRESTIGIOUS INSURANCE FIRM in the City of London. THIS POSITION IS NOT TO BE MISSED.Required Technical Skills:C#Visual Studio .NETTFS (Team Foundation Server)MVCWeb APIEntity FrameworkJSONAngular JSKnockout JSBootstrapNunitMoq/RhinomocksUnity/Castle WinsdorSQL ServerPlease send in your latest CV for immediate considerationSalary on offer is circa £50,000 - £60,000 depending on experience + Excellent Benefits and Technical and Business Related Training.Application Developer; Software Developer - Full Software Development Life Cycle.An AMAZING OPPORTUNITY to work for THE MOST PRESTIGIOUS INSURANCE FIRM in the City of London. THIS POSITION IS NOT TO BE MISSED.Working in a small team (circa 10) of experienced Software Developers/Application Developers; you will be required to Design, Architect and Develop complex Insurance-Based Systems (that will cover Underwriting, Modelling and Actuarial)."	"City of London, UK"	"IT"	NA	"Jan/Feb 2019"	"£50k-£60k per annum + Bonus + Benefits + Pension"	"i3 Resourcing"	"Steven Chassaigne "	"JS-APPSDEVELOPER"	"11/12/2018 09:38:55"	"http://www.jobserve.com/Gms6J"	NA
"Proposition Manager - Pensions"	"£53803 - £80704 per annum"	"Wilmslow, Cheshire"	"Permanent"	"Proposition Manager - Pensions"	"Wilmslow, Cheshire - £53803 - £80704 per annum"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Proposition Manager - Pensions Salary: £53,803-80,704Benefits: 28 days Holiday + Bank Holidays, Pension & Annual Bonus The Royal London Legacy Division is responsible for delivering exceptional customer outcomes to approximately 6 million policy holders across 500 products.We are seeking a dynamic and experienced senior manager to join the division to manage the product life cycle within our suite of pension propositions. The key purpose of the role is to ensure that the pension Legacy propositions deliver great customer outcomes and superior value for money.Reporting to the Head of Propositions, the role will also support the executive team in delivering the key objectives of the business. This includes supporting strategic business programmes, identifying opportunities to add value to the Legacy book and shaping and delivering agendas to achieve operational efficiencies.Responsibilities also include: Shaping and delivering against a clear, risk based proposition review plan in line with risk appetite presenting to the Divisional Executive Committee and Group Customer Standards CommitteesOperating within a robust risk, control and governance regime to facilitate the robust oversight of propositions;Ensuring propositions are legal and regulatory compliant in a continually changing environment by operating an effective framework of people, processes and systems in which we can monitor, influence, oversee and deliver all regulatory and legislative changeManaging a large part of the Legacy Division existing range of products (pensions policies circa 2.5m across Royal London, CIS, Royal Liver and PLAL), in line with Royal London's operating model, risk management standards and efficiency targetsOverseeing a full control framework for the product portfolio, ensuring risks are managed/mitigated in line with Group risk appetite and ensuring propositions deliver great customer outcomesProviding oversight of the Pensions portfolio projects to ensure all changes are delivered to time, budget & quality - this will include overseeing outsourcers projectsProvide Pensions product expertise and deep market understanding collaborating with and influencing internal stakeholders including actuarial, customer service, legal, risk and compliance functions within Royal London, as well as external regulators and other stakeholdersDeliver key performance metrics and enhance the value of existing productsResponsible for overseeing the regular review of pensions propositions ensuring all outcomes are in line with customer promises, expectations and terms and conditions and with regulatory requirementsSkills, qualifications and experience: Experience in managing Pensions productsStrong understanding of Pensions regulatory and legislative framework including HMRC, FCA (including COBs), tPR, FRC as well as ABI Codes as appropriateExperience in operating governance and controls in line with risk appetite and regulatory requirementsBusiness process design experience and ability to oversee complex change projectsAbility to increase efficiency and effectiveness of existing processes, setting realistic but stretching targetsNoneRoyal London is an equal opportunities employer. We work hard to attract the best talent for our award-winning team. We believe that embracing difference makes us stronger. Our diverse people bring us different skills - whatever their educational background, disability, gender, age, sexual orientation, race, religion or belief. We will consider flexible working arrangements for all our roles. We also welcome applications from individuals who have taken an extended career break.To apply, please use the 'Apply Online' link below.For any further queries regarding the role, please contact Doug Gear on (see below) "	"Wilmslow, Cheshire, UK"	"Finance"	NA	NA	"£53803 - £80704 per annum"	"Resource Management"	"Resource Management ltd"	"JS-R02968"	"10/12/2018 09:37:41"	"http://www.jobserve.com/GmgdZ"	NA
"Actuarial Analyst"	"£45,000 - £65,000 GBP"	"London"	"Permanent"	"Actuarial Analyst"	"London - £45,000 - £65,000 GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Actuarial Analyst (West London/Guildford) - £45,000 - £65,000Our client, a well-regarded insurance business is looking to hire an Actuarial Analyst to join their Pricing team. The candidate is envisaged to ideally have Pricing experience, but any specialism will be considered for the best candidates. This is a great opportunity to work alongside a Head of Pricing, a well-known industry professional. Study support provided.The focus of the successful candidate will be: - Project pricing across acquisitions, renewals and offers. - Research and proposal of alternative rating structures for technical and commercial advantage. - Creating a toolbox of analytical and actuarial techniques to provide predictions of the current and future performance. - Translating actuarial analysis to the non-specialists in the wider business. - Support for insurance data design and validation. - Working closely with Actuaries, Underwriters and data scientists. - Portfolio Pricing analysis and rating tool development. - Legal, governance and regulatory compliance when required. - Support the maintenance and growth of the current Pricing models.What our client is looking for: - Part qualified or working towards the qualification. - Excellent numerical academic record to at least a degree level. - Knowledge of GLMs, Price optimisation, stochastic simulation or similar specialist insurance software. - SQL, SAS, R, Python, VBA, VB.NET or C# would be very useful. - Strong analytical skills. - Excellent communication skills. - Pricing model experience (non-essential) but this would make you a strong applicant. - An Insurance/Finance/Energy/Telco. - Personal lines experience would make you a strong applicant. "	"London, UK"	"Finance"	NA	NA	"£45,000 - £65,000 GBP"	"HFG"	"HFG"	"JS7286_85102/598778509"	"06/12/2018 09:16:03"	"http://www.jobserve.com/Glwdr"	NA
"Actuary - Financial Risk"	"£68,750 - £71,530 per annum GBP"	"Croydon"	"Permanent"	"Actuary - Financial Risk"	"Croydon - £68,750 - £71,530 per annum GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Actuary - Financial Risk £68,750 - £71,530 per annum Croydon Our client is looking for a Qualified Actuary to join their team on a permanent basis. The Actuary will support the provision of actuarial advice to PPF's Board by carrying out a range of actuarial, quantitative finance or modelling processes. Typical responsibilities include calculating results from their actuarial models, drafting appropriate technical responses using suitable methodology to recommend to senior stakeholders and implementing process changes and improvements. You will need to demonstrate a strong numerical and analytical skill set within the insurance or pensions industry, and be used to dealing with risk modelling in Excel. They expect you to be a strong-team player that is able to manage conflicting priorities to tight deadlines. This role gives you the opportunity for you learn to new skills in a fast-paced financial services environment. Sound like you? Apply now. Now is a really exciting time for them. They've got big plans for 2019, and beyond, and they'd love you to join them. Our client is an Equal Opportunities employer and welcomes applications from all sections of the community. No agencies please. "	"Croydon, UK"	"Finance"	NA	NA	"£68,750 - £71,530 per annum GBP"	"Networx"	"claire Smith"	"JSNTXBE369776/592611091"	"11/12/2018 11:09:10"	"http://www.jobserve.com/Gmtdz"	NA
"Actuarial Reserving Manager"	"GBP"	"London"	"Permanent"	"Actuarial Reserving Manager"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Actuarial Reserving Manager London  Who we are: QBE's European Operations, which accounts for over 27% of QBE Group turnover, is a leading specialist in London market and European commercial lines business. Active in both the Lloyd's and company market, QBE offers considerable diversity to the broking community. We are a socially responsible company and give our customers the ability to invest a portion of their premiums in environmentally and socially beneficial projects. The Opportunity:  As an Actuarial Reserving Manager you would directly support the Head of Reserving as a manager for one of the four main reserving teams within QBE European Operations (EO). Additional responsibilities would include key relationship management with functions such as Finance, Group or Claims. Actuarial Reserving Managers work closely with the Head of Reserving to develop and execute the team vision and strategy each year making this role a great opportunity to influence and contribute to team goals. They also partner with the underwriting department to provide crucial insight into the business. Your responsibilities for this role may include, but are not limited to: Annual delivery of reserving results Building and maintaining strong relationships with key stakeholders Communication of results, key issues, sensitivities and uncertainties Delivery of post reserving processes feeding into HY and YE results Reserving & UW variability parameterisation in conjunction with capital team Analysing and communicating trends Delivery of regular actual vs expected analysis Ad hoc deep dive analysis on key portfolios of interest Manage a team of 2 to 3 analysts A close collaboration with the reserving manager for the insurance activity of QBE Europe You will need to be able to display you have the following qualifications and experience: Strong focus on executing plans and delivering results Effective communication skills Pro-active approach and keen to take ownership of work Willingness to collaborate and work in a team Experience of managing a cross border team Ideally Qualified Actuary  Strong technical background in reserving and reinsurance Strong knowledge of accounting, including Belgian GAAP, and tax law. Strong planning and time management of both own and direct team's work We view our people as our most precious asset. We understand the importance of fostering a work environment that is responsive to the changing needs of today's workforce. QBE aims to build a workplace that is fair and inclusive because we want to attract and retain the best people to do the job. "	"London, UK"	"Finance"	NA	NA	"GBP"	"QBE"	"QBE"	"JS7286_83899/598778541"	"07/12/2018 13:15:43"	"http://www.jobserve.com/Gl5an"	NA
"Actuarial Life Advisor"	"GBP"	"Edinburgh, Scotland"	"Permanent"	"Actuarial Life Advisor"	"Edinburgh, Scotland - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Star Actuarial, together with a leading global consultancy, is seeking a part-qualified life actuary to assist in the delivery of a wide range of client engagements, providing technical input to a number of projects.With strong Excel and VBA skills, the successful candidate will possess a detailed knowledge of UK reporting methodologies, eg UK GAAP, IFRS, FSA Returns.You will also have knowledge of Economic Capital and experience of modelling capital projects, alongside knowledge of Market Consistent Embedded Value techniques.Modelling skills (eg Prophet, MoSes, VBA) are essential.An excellent opportunity to develop your career in a client-facing role within a genuine market-leader."	"Edinburgh, Scotland, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR3877/593978571"	"11/12/2018 13:17:48"	"http://www.jobserve.com/Gmuh5"	NA
"Actuary"	"GBP"	"Southampton, Hampshire"	"Permanent"	"Actuary"	"Southampton, Hampshire - GBP"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"We are working with a FTSE 100 Life Insurer who are growing a pricing team and looking at new routes to market. You will join a team of ambitious Actuaries who are all looking to develop new and unique products, The aim of this team is to help the business take a much larger share of the Protection market, Contribute to re-pricing activities, The ideal candidate will be a Part or Nearly Qualified Actuary with a background in Life Insurance, Life pricing and product development experience is essential, "	"Southampton, Hampshire, UK"	"Finance"	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_85227/598778368"	"12/12/2018 11:39:13"	"http://www.jobserve.com/Gm6C9"	NA
"Actuary - Reporting - Graduate"	"60k - 70k Annual GBP"	"Bristol, Somerset"	"Permanent"	"Actuary - Reporting - Graduate"	"Bristol, Somerset - 60k - 70k Annual GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"A Reporting Actuary role has become available in the Bristol With-Profits Reporting team. You will be joining a team of highly motivated finance professionals, facing a demanding change agenda. The team is a mix of qualified Actuaries and Actuarial trainees, all with a focus of delivering high quality results to senior partners..... click apply for full job details "	"Bristol, Somerset, UK"	"Finance"	NA	NA	"60k - 70k Annual GBP"	"Aviva plc"	"Recruitment Team"	"JSR-74692/592930945"	"07/12/2018 15:58:09"	"http://www.jobserve.com/Gl6Qq"	"Graduate"
