"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"category"	"duration"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"
"Business Systems Analyst - Insurance, Reinsurance, MI"	"£70k - £75k per annum + Bonus + Benefits"	"London"	"Permanent"	"Business Systems Analyst - Insurance, Reinsurance, MI"	"London - £70k - £75k per annum + Bonus + Benefits"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"Business Systems Analyst - Insurance, Reinsurance, MI, Insurance Applications & ACORDPermanentLondon£70,000 - £75,000 + Bonus + Benefits.This is a great opportunity to join a collaborative department within the reinsurance space. The team uses cutting edge technology and has a great work ethic.Working as a member of the European Technology Services team, provide application support and maintenance for my client's European reinsurance business applications and services. This includes assisting with the development, implementation and support of new applications and enhancements.Main Responsibilities:Plan, coordinate and manage the implementation of new and existing reinsurance applications namely Galaxy and IRIS applications respectively. This includes defining, setting up, configuring, performing systems testing, assisting user testing and training for any such application.Analyse and translate my client's business requirements into highly specified systems requirements.Ensure that all application change requests are processed according to Technology Services' Change Request procedures and compliant with any Group requirements.Support and maintain my clients electronic messaging systems used for its London market bureau processing functions and play a key role in the development and implementation of its new ACORD messaging solutions. A good understanding and knowledge of ACORD messaging is preferable, but we will consider candidates without Acord for this position.Develop and maintain data-sets used for MI and User reporting including exporting/importing data from/to other applications and Data Warehouses.Ensure Information Management budgets are adhered to and deadlines are met using good project management skills. Communicate project status in a timely and efficient manner to the business, including project sponsors and owners.Provide application user support and training.Work Duties:To develop, maintain and provide primary support for Galaxy and IRIS applications relating primarily to its reinsurance business. Provide additional support, as necessary, to insurance applications.Assist in the ongoing migration of IRIS environments to the new Galaxy system. Assist in the development and support of the new Global reinsurance application, Galaxy.Provide technical support to reinsurance and if necessary, its insurance applications.Plan, perform (including testing) and project manage upgrades to the above applications, as required.Specify, write (where appropriate), verify and test programs, scripts or other programmable modules based on user requirements or business rules. This includes the production of data-sets used for MI and User reporting requirements, eg using SQL, Power BI or other reporting tool.Liaise with external software service providers regarding the implementation of new application systems, reporting of software faults and monitoring their progress to satisfactory resolution.Evaluate current application functionality and reporting systems and determine what changes are required to meet new user requirements.Ensure that all work follows appropriate standards and conforms to all regulatory compliance procedures set down by my client.Liaise and work closely with Technology Services staff of all levels throughout my client's offices, primarily being London, New Jersey and Dublin.Experience Required:A minimum of 5 years' experience working as a business analyst in the re/insurance industry combined with a solid understanding of underwriting, claims, accounting and actuarial functions.Experience of one or more re/insurance applications (such as IRIS, Genius, Xuber, SICS, AdvantageGo, Sequel or an in-house equivalent).Electronic messaging ie ACORD standards and solutions experience, and knowledge would be nice to have.A good understanding and knowledge of Microsoft Power BI or similar business analytics software/services.Excellent communication skills - ability to comfortably communicate with both technical and non-technical people at all levels.Relevant degree in Computer Science or equivalent.Business Systems Analyst - Insurance, Reinsurance, MI, Insurance Applications & ACORDPermanentLondon£70,000 - £75,000 + Bonus + Benefits.This is a great opportunity to join a collaborative department within the reinsurance space. The team uses cutting edge technology and has a great work ethic."	"London, UK"	"IT, Finance"	NA	NA	NA	"£70k - £75k per annum + Bonus + Benefits"	"i3 Resourcing"	"John Melrose "	"JS-JM/EBSA/I3"	"04/12/2018 08:51:13"	"http://www.jobserve.com/GlYMh"
"Proposition Manager - Pensions"	"£53803 - £80704 per annum"	"Wilmslow, Cheshire"	"Permanent"	"Proposition Manager - Pensions"	"Wilmslow, Cheshire - £53803 - £80704 per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Proposition Manager - Pensions Salary: £53,803-80,704Benefits: 28 days Holiday + Bank Holidays, Pension & Annual Bonus The Royal London Legacy Division is responsible for delivering exceptional customer outcomes to approximately 6 million policy holders across 500 products.We are seeking a dynamic and experienced senior manager to join the division to manage the product life cycle within our suite of pension propositions. The key purpose of the role is to ensure that the pension Legacy propositions deliver great customer outcomes and superior value for money.Reporting to the Head of Propositions, the role will also support the executive team in delivering the key objectives of the business. This includes supporting strategic business programmes, identifying opportunities to add value to the Legacy book and shaping and delivering agendas to achieve operational efficiencies.Responsibilities also include: Shaping and delivering against a clear, risk based proposition review plan in line with risk appetite presenting to the Divisional Executive Committee and Group Customer Standards CommitteesOperating within a robust risk, control and governance regime to facilitate the robust oversight of propositions;Ensuring propositions are legal and regulatory compliant in a continually changing environment by operating an effective framework of people, processes and systems in which we can monitor, influence, oversee and deliver all regulatory and legislative changeManaging a large part of the Legacy Division existing range of products (pensions policies circa 2.5m across Royal London, CIS, Royal Liver and PLAL), in line with Royal London's operating model, risk management standards and efficiency targetsOverseeing a full control framework for the product portfolio, ensuring risks are managed/mitigated in line with Group risk appetite and ensuring propositions deliver great customer outcomesProviding oversight of the Pensions portfolio projects to ensure all changes are delivered to time, budget & quality - this will include overseeing outsourcers projectsProvide Pensions product expertise and deep market understanding collaborating with and influencing internal stakeholders including actuarial, customer service, legal, risk and compliance functions within Royal London, as well as external regulators and other stakeholdersDeliver key performance metrics and enhance the value of existing productsResponsible for overseeing the regular review of pensions propositions ensuring all outcomes are in line with customer promises, expectations and terms and conditions and with regulatory requirementsSkills, qualifications and experience: Experience in managing Pensions productsStrong understanding of Pensions regulatory and legislative framework including HMRC, FCA (including COBs), tPR, FRC as well as ABI Codes as appropriateExperience in operating governance and controls in line with risk appetite and regulatory requirementsBusiness process design experience and ability to oversee complex change projectsAbility to increase efficiency and effectiveness of existing processes, setting realistic but stretching targetsNoneRoyal London is an equal opportunities employer. We work hard to attract the best talent for our award-winning team. We believe that embracing difference makes us stronger. Our diverse people bring us different skills - whatever their educational background, disability, gender, age, sexual orientation, race, religion or belief. We will consider flexible working arrangements for all our roles. We also welcome applications from individuals who have taken an extended career break.To apply, please use the 'Apply Online' link below.For any further queries regarding the role, please contact Doug Gear on (see below) "	"Wilmslow, Cheshire, UK"	"Finance"	NA	NA	NA	"£53803 - £80704 per annum"	"Resource Management"	"Resource Management ltd"	"JS-R02968"	"03/12/2018 08:55:59"	"http://www.jobserve.com/GlLlP"
"Actuarial Analyst"	"£45,000 - £65,000 GBP"	"London"	"Permanent"	"Actuarial Analyst"	"London - £45,000 - £65,000 GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Actuarial Analyst (West London/Guildford) - £45,000 - £65,000Our client, a well-regarded insurance business is looking to hire an Actuarial Analyst to join their Pricing team. The candidate is envisaged to ideally have Pricing experience, but any specialism will be considered for the best candidates. This is a great opportunity to work alongside a Head of Pricing, a well-known industry professional. Study support provided.The focus of the successful candidate will be: - Project pricing across acquisitions, renewals and offers. - Research and proposal of alternative rating structures for technical and commercial advantage. - Creating a toolbox of analytical and actuarial techniques to provide predictions of the current and future performance. - Translating actuarial analysis to the non-specialists in the wider business. - Support for insurance data design and validation. - Working closely with Actuaries, Underwriters and data scientists. - Portfolio Pricing analysis and rating tool development. - Legal, governance and regulatory compliance when required. - Support the maintenance and growth of the current Pricing models.What our client is looking for: - Part qualified or working towards the qualification. - Excellent numerical academic record to at least a degree level. - Knowledge of GLMs, Price optimisation, stochastic simulation or similar specialist insurance software. - SQL, SAS, R, Python, VBA, VB.NET or C# would be very useful. - Strong analytical skills. - Excellent communication skills. - Pricing model experience (non-essential) but this would make you a strong applicant. - An Insurance/Finance/Energy/Telco. - Personal lines experience would make you a strong applicant. "	"London, UK"	"Finance"	NA	NA	NA	"£45,000 - £65,000 GBP"	"HFG"	"HFG"	"JS7286_85102/598778509"	"06/12/2018 09:16:03"	"http://www.jobserve.com/Glwdr"
"Actuarial Reserving Manager"	"GBP"	"London"	"Permanent"	"Actuarial Reserving Manager"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Actuarial Reserving Manager London - EC3M 3BD Who we are: QBE's European Operations, which accounts for over 27% of QBE Group turnover, is a leading specialist in London market and European commercial lines business. Active in both the Lloyd's and company market, QBE offers considerable diversity to the broking community. We are a socially responsible company and give our customers the ability to invest a portion of their premiums in environmentally and socially beneficial projects. The Opportunity:  As an Actuarial Reserving Manager you would directly support the Head of Reserving as a manager for one of the four main reserving teams within QBE European Operations (EO). Additional responsibilities would include key relationship management with functions such as Finance, Group or Claims. Actuarial Reserving Managers work closely with the Head of Reserving to develop and execute the team vision and strategy each year making this role a great opportunity to influence and contribute to team goals. They also partner with the underwriting department to provide crucial insight into the business. Your responsibilities for this role may include, but are not limited to: Annual delivery of reserving results Building and maintaining strong relationships with key stakeholders Communication of results, key issues, sensitivities and uncertainties Delivery of post reserving processes feeding into HY and YE results Reserving & UW variability parameterisation in conjunction with capital team Analysing and communicating trends Delivery of regular actual vs expected analysis Ad hoc deep dive analysis on key portfolios of interest Manage a team of 2 to 3 analysts A close collaboration with the reserving manager for the insurance activity of QBE Europe You will need to be able to display you have the following qualifications and experience: Strong focus on executing plans and delivering results Effective communication skills Pro-active approach and keen to take ownership of work Willingness to collaborate and work in a team Experience of managing a cross border team Ideally Qualified Actuary  Strong technical background in reserving and reinsurance Strong knowledge of accounting, including Belgian GAAP, and tax law. Strong planning and time management of both own and direct team's work We view our people as our most precious asset. We understand the importance of fostering a work environment that is responsive to the changing needs of today's workforce. QBE aims to build a workplace that is fair and inclusive because we want to attract and retain the best people to do the job. Search for QBE on Vercida to learn more about our Diversity and Inclusion programmes and policies. "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"QBE"	"QBE"	"JS7286_83899/598778541"	"07/12/2018 13:15:43"	"http://www.jobserve.com/Gl5an"
"Actuarial Life Advisor"	"GBP"	"Edinburgh, Scotland"	"Permanent"	"Actuarial Life Advisor"	"Edinburgh, Scotland - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Star Actuarial, together with a leading global consultancy, is seeking a part-qualified life actuary to assist in the delivery of a wide range of client engagements, providing technical input to a number of projects.With strong Excel and VBA skills, the successful candidate will possess a detailed knowledge of UK reporting methodologies, eg UK GAAP, IFRS, FSA Returns.You will also have knowledge of Economic Capital and experience of modelling capital projects, alongside knowledge of Market Consistent Embedded Value techniques.Modelling skills (eg Prophet, MoSes, VBA) are essential.An excellent opportunity to develop your career in a client-facing role within a genuine market-leader."	"Edinburgh, Scotland, UK"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR3877/593978571"	"03/12/2018 18:14:37"	"http://www.jobserve.com/GlSmO"
"Actuary - Reporting - Graduate"	"60k - 70k Annual GBP"	"Bristol, Somerset"	"Permanent"	"Actuary - Reporting - Graduate"	"Bristol, Somerset - 60k - 70k Annual GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"A Reporting Actuary role has become available in the Bristol With-Profits Reporting team. You will be joining a team of highly motivated finance professionals, facing a demanding change agenda. The team is a mix of qualified Actuaries and Actuarial trainees, all with a focus of delivering high quality results to senior partners..... click apply for full job details "	"Bristol, Somerset, UK"	"Other"	"Graduate"	NA	NA	"60k - 70k Annual GBP"	"Aviva plc"	"Recruitment Team"	"JSR-74692/592930945"	"07/12/2018 15:58:09"	"http://www.jobserve.com/Gl6Qq"
"Actuarial Analyst"	"GBP"	"London"	"Permanent"	"Actuarial Analyst"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"I am conducting a search for a part-qualified actuarial analyst to join a leading UK Life Insurer. They are interested in speaking with individuals who have previous experience working in Pensions and Defined Benefit Schemes. This role would offer the opportunity to gain experience/exposure to the Life market while also utilising previous pension experience. The ideal candidate will be making good progress in their actuarial exams and have modelling exposure. The role sits within the Pension Risk Transfer Pricing Team where you would be supporting managers in providing bulk annuity and longevity quotes to pension schemes. Salary, bonus and benefits are very appealing and study support is offered. This is an exceptional career move that will attract a lot of interest, so please apply online now. "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"Financial Resourcing Group"	"Financial Resourcing Group"	"JS7286_82820/599836903"	"08/12/2018 09:08:56"	"http://www.jobserve.com/GmDcu"
"Actuarial Assistant"	"GBP"	"London"	"Permanent"	"Actuarial Assistant"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"A successful Lloyd's managing agency is currently searching for an Actuarial Assistant to join their Pricing and Reserving team, to assist in developing the syndicates they manage over.Responsibilities within this role include supporting the reserving and pricing manager, independent actuaries and external auditors with syndicate reserving, pricing analysis exercises, and solvency II technical provisions. This role will also require the completion of some ad-hoc analyses and tasks, as when necessary. As the candidate will need to be interacting well with the team, excellent interpersonal skills are needed.The ideal candidate will be a diligent and competent numerical degree graduate (or equivalent), who is a part-qualified actuary, preferably having completed the Core Technical subjects and has previous knowledge of reserving/pricing models (eg ResQ), with non-life experience preferably within the London Market.Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"London, UK"	"Office and Admin"	"Graduate"	NA	NA	"GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_82722/598778606"	"06/12/2018 11:12:54"	"http://www.jobserve.com/GlxGM"
"Actuarial Non-life Analyst"	"GBP"	"London"	"Permanent"	"Actuarial Non-life Analyst"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Seeking a part-qualified GI actuary to join a leading firm where you will play a key role in supporting the design, establishment and embedding of a strong capital management and reporting framework. With strong verbal communication and interpersonal skills, the successful candidate will great problem-solving skills with a creative mind and desire to drive change and innovate. Generous actuarial study package on offer. "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82733/598778454"	"06/12/2018 09:16:26"	"http://www.jobserve.com/Glwd9"
"Actuarial Non-life Analyst"	"GBP"	"United Kingdom"	"Permanent"	"Actuarial Non-life Analyst"	"United Kingdom - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Seeking a part-qualified GI actuary to join a leading firm where you will play a key role in supporting the design, establishment and embedding of a strong capital management and reporting framework.With strong verbal communication and interpersonal skills, the successful candidate will great problem-solving skills with a creative mind and desire to drive change and innovate.Generous actuarial study package on offer."	"United Kingdom"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5018/593978707"	"03/12/2018 14:14:50"	"http://www.jobserve.com/GlPxU"
"Actuarial Analyst"	""	"Sussex"	"Permanent"	"Actuarial Analyst"	"Sussex"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"A highly successful Sussex based insurer is currently looking to add an Actuarial Analyst to their team. This position will be very diverse - focusing on pricing, reserving and capital modelling and would be an excellent opportunity for the successful candidate to develop their career and build a well-rounded base of experience.The ideal candidate will have some prior GI experience in one of the three disciplines and a strong academic background, being educated to at least degree level. A competitive salary is on offer for this position and can be discussed upon application.Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"Sussex, UK"	"Finance"	NA	NA	NA	NA	"Eames Consulting"	"Eames Consulting"	"JS7286_82643/598778786"	"06/12/2018 11:24:18"	"http://www.jobserve.com/GlxM8"
"Actuarial Analyst - Life"	"GBP"	"Edinburgh"	"Permanent"	"Actuarial Analyst - Life"	"Edinburgh - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Our client is seeking a part-qualified life actuary to contribute to actuarial and risk work, contributing to delivery of experience analyses, IFRS reporting, local statutory reporting, economic capital calculations, pricing, model governance and project work. You will also continually reassess the operational risks associated with the role and inherent in the business, taking account of changing economic or market conditions, legal and regulatory requirements, operating procedures and practices, management restructurings, and the impact of new technology. Ability to speak French or Spanish would be an advantage, as would knowledge of Excel, VBA, SAS and/or Prophet. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf. Sarah O'Brien Senior Consultant M: (0) E:  "	"Edinburgh, UK"	"Other"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82667/598778398"	"07/12/2018 15:25:58"	"http://www.jobserve.com/Gl6K1"
"Actuarial Graduate"	"26k Annual GBP"	"Norwich, Norfolk"	"Permanent"	"Actuarial Graduate"	"Norwich, Norfolk - 26k Annual GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Are you a strategic thinker that loves to tackle problems? Do you have a passion for maths? Do you want to work for the UK largest insurer, who will support you to gain further qualifications? If so, why not follow in the footsteps of our previous Actuarial Graduate Scheme Trainees and your hard work could see..... click apply for full job details "	"Norwich, Norfolk, UK"	"Finance"	"Graduate"	NA	NA	"26k Annual GBP"	"Aviva plc"	"Recruitment Team"	"JSR-73689/592931014"	"03/12/2018 17:21:08"	"http://www.jobserve.com/GlSBW"
"Actuarial Pricing Analyst"	"GBP"	"London"	"Permanent"	"Actuarial Pricing Analyst"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"A reputable insurer is looking for an actuarial pricing analyst to join their pricing division.Responsibilities of the role include developing rating models, pricing individual accounts and monitoring performance of the portfolios.The role will require good interpersonal skills due to the need to regularly converse with senior underwriters and business unit leaders.Candidates are preferred to have at least 2 years' experience in a General Insurance actuarial role, to be a student member of the Casualty Actuarial Society or an equivalent body, with proven excellent performance in actuarial exams, mathematics or a related discipline. Pricing experience is preferred but not essential.Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_82604/598778618"	"06/12/2018 11:24:48"	"http://www.jobserve.com/GlxNP"
"Actuarial Manager - Consultancy"	"GBP"	"London"	"Permanent"	"Actuarial Manager - Consultancy"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"A renowned consultancy firm are seeking an Actuarial Manager to join and lead their actuarial function. The role will have coverage over reserving, capital modelling and Solvency II.Responsibilities within this role include the reporting and delivery of projects, taking ownership of at least one major work-stream. The role will require the candidate to have great interpersonal skills, and effect communication and coaching skills, presenting to senor clients and mentoring junior staff.The ideal candidate will be newly qualified, with a degree-level qualification, having experience within reserving in the GI industry. Solvency II experience is preferred.Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_82469/598778413"	"06/12/2018 09:16:47"	"http://www.jobserve.com/GlweQ"
"Actuarial Apprentice Level 4 - Graduate"	"20250.00 Annual GBP"	"Norwich, Norfolk"	"Permanent"	"Actuarial Apprentice Level 4 - Graduate"	"Norwich, Norfolk - 20250.00 Annual GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Aviva Level 4 Actuarial Technician Apprentice Scheme - Norwich.  Are you a strategic thinker that loves to solve problems?  Do you have a passion for maths?  Do you want to work for the UK's largest insurer, who will support you to gain further qualifications?  If so, why not follow in the footsteps of..... click apply for full job details "	"Norwich, Norfolk, UK"	"Other"	"Graduate"	NA	NA	"20250.00 Annual GBP"	"Aviva plc"	"Recruitment Team"	"JSR-74269/592931178"	"07/12/2018 15:58:14"	"http://www.jobserve.com/Gl6Qx"
